film_id,accuracy,precision,recall,f1
111161,0.9824561403508771,0.9824561403508771,1.0,0.9911504424778761
359950,0.8161764705882353,0.8222222222222222,0.9910714285714286,0.8987854251012146
369610,0.7291666666666666,0.7482014388489209,0.9629629629629629,0.8421052631578947
451279,0.7741935483870968,0.7741935483870968,1.0,0.8727272727272727
454876,0.9065420560747663,0.9065420560747663,1.0,0.9509803921568627
455944,0.7413793103448276,0.7706422018348624,0.9438202247191011,0.8484848484848485
470752,0.860655737704918,0.860655737704918,1.0,0.9251101321585903
478970,0.8389261744966443,0.8503401360544217,0.984251968503937,0.9124087591240877
770828,0.7619047619047619,0.7804878048780488,0.9696969696969697,0.8648648648648648
790636,0.9289617486338798,0.9289617486338798,1.0,0.9631728045325779
816692,0.9425675675675675,0.9425675675675675,1.0,0.9704347826086956
816711,0.7617328519855595,0.7752808988764045,0.971830985915493,0.8625
831387,0.4911242603550296,0.5420560747663551,0.6105263157894737,0.5742574257425743
993846,0.9228295819935691,0.9228295819935691,1.0,0.959866220735786
1024648,0.9140625,0.9140625,1.0,0.9551020408163265
1045658,0.9202453987730062,0.9202453987730062,1.0,0.9584664536741214
1065073,0.868421052631579,0.868421052631579,1.0,0.9295774647887324
1091191,0.864,0.864,1.0,0.9270386266094421
1170358,0.8842105263157894,0.8842105263157894,1.0,0.9385474860335195
1211837,0.8513513513513513,0.8513513513513513,1.0,0.9197080291970803
1211956,0.6285714285714286,0.6666666666666666,0.8857142857142857,0.7607361963190183
1234721,0.5283018867924528,0.5538461538461539,0.631578947368421,0.5901639344262295
1245492,0.6805555555555556,0.7049180327868853,0.8958333333333334,0.7889908256880733
1253863,0.47058823529411764,0.5373134328358209,0.6101694915254238,0.5714285714285715
1272878,0.6310679611650486,0.6785714285714286,0.8382352941176471,0.7500000000000001
1300854,0.7985611510791367,0.8072727272727273,0.9866666666666667,0.888
1302006,0.954954954954955,0.9545454545454546,1.0,0.9767441860465117
1343092,0.8300970873786407,0.8333333333333334,0.9941520467836257,0.9066666666666667
1375666,0.9504950495049505,0.9504950495049505,1.0,0.9746192893401014
1386697,0.515527950310559,0.5444444444444444,0.5697674418604651,0.5568181818181818
1392190,0.8725490196078431,0.8725490196078431,1.0,0.9319371727748691
1392214,0.940677966101695,0.940677966101695,1.0,0.9694323144104803
1396484,0.6521739130434783,0.7029702970297029,0.8765432098765432,0.7802197802197802
1408101,0.9036697247706422,0.9036697247706422,1.0,0.9493975903614458
1430132,0.6280487804878049,0.6506849315068494,0.9047619047619048,0.7569721115537849
1431045,0.8638743455497382,0.868421052631579,0.9939759036144579,0.9269662921348315
1453405,0.8440366972477065,0.8440366972477065,1.0,0.9154228855721394
1454468,0.8948863636363636,0.8971428571428571,0.9968253968253968,0.944360902255639
1457767,0.8674033149171271,0.8715083798882681,0.9936305732484076,0.9285714285714286
1483013,0.6730769230769231,0.6965174129353234,0.9523809523809523,0.8045977011494252
1490017,0.8545454545454545,0.8623853211009175,0.9894736842105263,0.9215686274509803
1535108,0.5934065934065934,0.6375,0.864406779661017,0.7338129496402878
1535109,0.9411764705882353,0.9411764705882353,1.0,0.9696969696969697
1587310,0.6972477064220184,0.7115384615384616,0.961038961038961,0.8176795580110497
1596363,0.8793103448275862,0.8782608695652174,1.0,0.9351851851851852
1623205,0.5566037735849056,0.5975609756097561,0.7777777777777778,0.6758620689655173
1631867,0.9022988505747126,0.9022988505747126,1.0,0.9486404833836858
1663202,0.9128440366972477,0.9128440366972477,1.0,0.9544364508393285
1663662,0.7142857142857143,0.7204301075268817,0.9852941176470589,0.8322981366459629
1670345,0.7946768060836502,0.8007662835249042,0.990521327014218,0.885593220338983
1690953,0.8174603174603174,0.824,0.9903846153846154,0.8995633187772926
1723121,0.785234899328859,0.7905405405405406,0.9915254237288136,0.8796992481203008
1798709,0.8736842105263158,0.8783068783068783,0.9940119760479041,0.9325842696629213
1800241,0.8047619047619048,0.8076923076923077,0.9940828402366864,0.8912466843501327
1817273,0.7851239669421488,0.7966101694915254,0.9791666666666666,0.8785046728971962
1825683,0.8145161290322581,0.8145161290322581,1.0,0.8977777777777779
1840309,0.6388888888888888,0.6666666666666666,0.9014084507042254,0.7664670658682635
1843866,0.8911917098445595,0.8958333333333334,0.9942196531791907,0.9424657534246575
1853728,0.9485714285714286,0.9485714285714286,1.0,0.9736070381231672
1872181,0.6938775510204082,0.7293233082706767,0.9150943396226415,0.811715481171548
1877832,0.9435897435897436,0.9435897435897436,1.0,0.9709762532981531
1895587,0.9015151515151515,0.9083969465648855,0.9916666666666667,0.9482071713147411
1905041,0.7602739726027398,0.7746478873239436,0.9734513274336283,0.8627450980392156
